"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Caribbean small states","CSS","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","31","","39","","",
"Cuba","CUB","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","129","122","183","166","214","","","","","","","","1","1","121","104","83","109","","110","","","","","","105","94","74","69","59","","62","38","27","24","","32","29","29","","",
"Curacao","CUW","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","1","","","2","2","","","","","","","","","","","","","","","","","","","12","9","20","","3","11","6","4","","4","2","4","6","3","8","4","","",
"Czech Republic","CZE","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","893","756","626","614","579","624","596","555","568","526","625","623","586","641","716","712","789","868","783","867","984","910","880","792","794","678","","",
"Germany","DEU","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","28683","29841","30668","31658","31984","32202","32169","31597","31912","31171","30724","32256","33919","34752","36715","38103","42322","44438","46523","50029","51736","49989","47598","47818","48448","48367","48012","47853","49240","47859","47047","46986","46620","47353","48154","47384","48480","47785","46617","","",
"Djibouti","DJI","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",
"Dominica","DMA","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","964","1085","1095","1167","966","856","958","1007","1197","1120","1218","1061","1204","1159","1274","1234","1309","1319","1543","1656","1730","1757","1815","1772","1877","1658","1503","1660","1634","1518","1626","1574","1406","1341","1377","1462","1552","1490","1262","","",
"Dominican Republic","DOM","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","25","","","14","","","","","","","","","","","","","","5","11","11","18","24","8","15","34","8","17","15","15","19","12","16","25","28","20","17","","",
"Algeria","DZA","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","5","14","14","30","30","","","","5","4","6","6","10","8","27","28","50","34","42","36","32","51","43","30","58","59","58","84","","","76","94","119","118","94","89","106","149","152","","",
"East Asia & Pacific (excluding high income)","EAP","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","4268","3697","4252","5037","5106","6202","7804","10500","12695","11924","10680","12406","13517","14852","16913","26458","31348","41316","58534","67758","101487","131054","162251","197107","240232","304623","426807","546345","709168","805160","972680","1209291","1251167","1398501","","",
"Early-demographic dividend","EAR","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","7965","7804","7364","","9105","7516","8074","8600","8276","9000","6174","6302","6060","8516","7534","7393","7885","7123","8078","8480","9278","9107","9783","11126","12750","15934","18116","24808","29660","27255","29337","30423","30250","33005","37553","26014","43110","48154","44992","","",
"East Asia & Pacific","EAS","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","282346","298436","320956","320323","330301","349059","357620","364991","367163","361014","406914","423193","433733","426309","434108","487448","492430","488029","512027","546382","596811","609378","629917","659377","667812","731535","857546","986823","1146947","1240339","1403980","1638504","1676002","1820380","","",
"Europe & Central Asia (excluding high income)","ECA","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41119","44794","31203","26806","25967","24042","26011","29830","33471","37264","30291","32254","32529","32934","37162","37986","37826","35618","39770","37673","38716","40755","35116","40071","38111","36153","36797","","",
"Europe & Central Asia","ECS","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138217","144577","132758","121561","132233","125410","130506","146254","155002","146847","136716","137646","138188","136314","139986","150982","151643","148026","152139","149636","149321","151336","145727","141632","148118","143427","141496","","",
"Ecuador","ECU","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","35","14","22","24","24","","27","21","24","26","","13","23","21","4","8","7","8","","15","10","7","13","7","14","11","8","4","2","6","4","","","7","24","20","45","16","34","","",
"Egypt, Arab Rep.","EGY","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","76","59","53","88","128","168","142","170","190","186","278","308","301","328","308","408","504","","494","536","534","464","627","493","382","428","","516","481","490","605","618","683","641","752","718","920","1025","997","","",
"Euro area","EMU","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","56158","50907","51540","52916","53993","57119","54751","55031","56498","53887","53313","54622","63388","65463","67311","60518","72923","68601","70888","81086","84990","74221","72079","72280","73805","73934","73834","83487","85116","83981","83908","83298","81814","82188","82893","73252","82958","81474","79781","","",
"Eritrea","ERI","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","1876","1718","1646","1498","1784","2149","1649","1720","1816","2087","2218","2156","2076","2165","2136","2047","2274","2237","2271","2439","2710","2528","2763","2813","2871","3040","3111","3267","3632","3596","3566","3430","3266","3026","2953","2799","2745","2167","1525","","",
"Estonia","EST","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","16","12","15","20","13","13","18","19","18","27","23","36","44","62","76","84","62","20","25","44","30","29","37","24","","",
"Ethiopia","ETH","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","3","","1","3","1","1","5","12","","","","4","","1","2","18","10","14","13","","",
"European Union","EUU","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","74893","68554","69900","72786","74176","74046","72122","73294","76118","72036","67172","66873","74536","77402","79361","72454","84577","80140","81964","92083","96284","85366","83028","82272","83787","82973","82673","92853","94756","93676","94332","94116","92961","93229","92991","84301","93621","91618","89574","","",
"Fragile and conflict affected situations","FCS","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","1356","1423","1638","1719","1775","1727","1754","1859","1981","1948","2059","2123","2052","2166","2306","2058","2179","2355","2471","2511","2579","2390","2162","1972","2011","1830","1816","1804","1799","1806","1731","1650","1698","1596","1419","1289","1260","1390","1387","","",
"Fiji","FJI","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","11000","10945","10681","11147","11333","12050","12155","12695","12437","12592","12378","12597","12539","12638","12519","12419","12916","13252","13251","13592","13870","13499","13519","13511","14230","14327","14529","14722","14658","14100","14748","14655","14540","14690","14500","14306","14206","14415","14303","","",
"Faroe Islands","FRO","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","19612","20808","20530","19893","19093","19672","20040","19945","20536","19732","19310","19230","18848","18727","18384","18630","18184","17938","19530","21333","22050","21423","20624","20426","19178","17833","17484","17375","16523","15985","15490","15343","15370","14972","15196","14867","13876","13301","12865","","",
"Georgia","GEO","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","365","502","386","287","288","263","277","265","232","254","194","195","249","225","236","248","222","256","183","138","139","114","110","99","96","75","103","","",
"Ghana","GHA","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","15","13","","",
"Gibraltar","GIB","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gambia, The","GMB","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","1265","1221","1264","1191","1277","1121","1249","1539","205","216","241","188","222","221","267","266","267","293","276","290","306","385","376","393","379","462","532","575","628","698","728","721","628","698","651","550","606","498","430","","",
"Grenada","GRD","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","17","","","72","25","8","16","5","27","31","27","40","21","32","22","36","26","28","54","30","8","6","9","17","28","9","5","7","7","4","7","4","10","7","3","3","6","","",
"Guam","GUM","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","1","","1","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","2","","",
"High income","HIC","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","335356","164317","166700","393181","424938","442705","459363","485979","495220","507808","527512","530874","548495","559411","561939","618936","628023","645875","656734","689298","753493","753759","743062","753516","781097","813928","810237","829203","814846","771735","787909","797330","826297","842848","837417","827999","841498","832980","819240","","",
"Hong Kong SAR, China","HKG","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","21","20","16","10","13","12","15","21","16","11","9","21","23","41","26","128","42","51","74","112","107","127","156","172","160","173","149","133","181","171","226","192","239","233","324","314","","",
"Honduras","HND","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","6","","63","16","4","12","","12","","","6","","","","","7","10","","11","8","4","7","7","","","","","","","","","2","8","6","","4","10","4","8","","",
"Heavily indebted poor countries (HIPC)","HPC","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","479","503","277","265","259","273","267","246","337","362","328","387","385","363","317","344","330","250","257","230","217","230","170","169","175","148","121","","",
"Haiti","HTI","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","4","","2","1","2","6","4","9","1","","","3","","","","","3","","","1","","","","","","","","","","","","1","2","","2","","","","","","",
"Hungary","HUN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","1601","2124","2344","2760","2869","2904","2847","3229","3262","2657","2477","2210","1497","1139","1162","1096","803","737","690","729","810","919","842","756","748","705","718","689","683","757","649","662","692","642","546","569","616","496","407","","",
"IBRD only","IBD","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","22671","23031","25383","27045","26968","20811","21225","63175","67503","54097","48656","50019","48265","51705","57498","72389","81206","85650","105247","117924","148621","184111","221877","268604","299355","369094","491091","611555","786871","880279","1041113","1291680","1334031","1479788","","",
"IDA & IBRD total","IBT","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","22780","23112","25468","27137","27044","20935","21362","63372","69868","55465","50169","51309","49480","52780","58619","73678","82502","86857","106774","118632","149293","184785","222615","269678","300202","370165","492116","612401","788057","881170","1042494","1293053","1335540","1481572","","",
"IDA total","IDA","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1373","","","","",
"IDA blend","IDB","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","","","","","","","","","","","","","","","","","","","","","573","518","627","","","801","790","1145","","",
"Indonesia","IDN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","5","","16","40","26","49","32","62","","113","","34","67","38","29","61","40","79","93","152","157","212","234","201","227","235","288","284","386","415","508","533","","663","702","1058","1101","2271","1407","","",
"IDA only","IDX","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","1207","1067","1128","","1003","982","999","988","1033","1048","1147","1267","1248","1209","1588","1545","1661","1926","2247","2206","2206","2379","2693","3425","4014","4721","5686","6296","6425","7262","8853","8841","9553","10669","12040","12579","13199","14961","16289","","",
"Not classified","INX","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","394","461","434","567","651","726","743","719","727","736","734","786","","","","","","","","","","","","","","","","","","","","","","","","","79","62","76","","",
"Iran, Islamic Rep.","IRN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","169","286","202","213","162","183","","207","167","141","182","262","225","278","266","278","288","284","337","366","410","691","910","1287","2426","4051","5970","10648","15403","12184","11108","11529","10622","11305","13683","","14930","15264","11908","","",
"Iraq","IRQ","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","19","26","47","33","124","296","199","272","272","247","","","149","164","112","76","68","","","","","","","","","","","","","","","","","","","335","","613","653","","",
